线索来源,日期,车次/车牌/航班/场所名,出行类型,出发站,到达站,车厢,出行描述,开始时间,结束时间,提交时间,事件备注
 湖南疾控 , 02-03 ,G1408,  火车  ,耒阳,长沙,13号车厢,厢有1名新型冠状病毒感染的肺炎确诊病例,2/3/2020 7:58,2/3/2020 9:10,2/7/2020 13:49,
 人民日报 , 02-02 ,黑AE888Z,  出租车  ,南极国际小区,哈尔滨传染病院,网约车,,2/2/2020 0:00,2/2/2020 23:59,2/6/2020 14:56,
 河南省人民政府 , 02-01 ,B13路(豫ATV968司机乘坐),  公交车  ,司机家里,郑州中心医院,,2月1日10时乘公交车B13路到郑州中心医院就诊,2/1/2020 10:00,2/1/2020 12:00,2/6/2020 10:53,
 河南省人民政府 , 02-01 ,B12路(豫ATV968司机乘坐),  公交车  ,郑州中心医院,司机家里,,2月1日12时乘公交车B12路回家,2/1/2020 12:00,2/1/2020 13:00,2/6/2020 10:54,
 人民日报 , 01-31 ,黑AF08772,  出租车  ,农大教师公寓,哈尔滨传染病院,曹操专车,,1/31/2020 0:00,1/31/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-30 ,ZH9543,  飞机  ,无锡,成都,,,1/30/2020 15:25,1/30/2020 18:05,2/4/2020 1:26,
 信阳市新型冠状病毒感染的肺炎疫情防控工作指挥部办公室 , 01-30 ,CZ2732,  飞机  ,泸沽湖机场,重庆,,,1/30/2020 11:24,1/30/2020 12:32,2/4/2020 1:29,
 天津政务网 , 01-30 ,天津9号线,  地铁  ,天津站,塘沽站,倒数第二节车厢,,1/30/2020 6:00,1/30/2020 7:00,2/7/2020 14:58,
 中共陕西省委政法委员会、西安市新型冠状病毒感染的肺炎疫情联防联控指挥部 , 01-29 ,西安多彩商城 长缨西路82号 商铺位置：东四排60号,  其它公共场所  ,,,,商铺的2名工作人员1月29日确诊,1/29/2020 0:00,1/29/2020 23:59,2/3/2020 1:49,
 广西壮族自治区卫生委官网 , 01-29 ,D8399,  火车  ,南宁东,陆川,6号车厢,座位003D,1/29/2020 19:12,1/29/2020 21:30,2/5/2020 12:27,
 人民日报 , 01-29 ,G1374,  火车  ,昆明南,长沙南,,,1/29/2020 10:07,1/29/2020 16:35,2/5/2020 12:27,
 芜湖发布 , 01-29 ,G9248,  火车  ,芜湖,南京南,3号车厢,座位：08A,1/29/2020 20:58,1/29/2020 21:32,2/7/2020 13:49,
 哈尔滨新闻综合频道 , 01-29 ,D5388,  火车  ,牡丹江,哈尔滨,7号车厢,,1/29/2020 9:37,1/29/2020 11:46,2/5/2020 0:19,
 人民日报 , 01-29 ,C7492,  火车  ,东方,海口东,1号车厢,,1/29/2020 8:09,1/29/2020 9:52,2/7/2020 14:05,
 海南日报 , 01-29 ,GS7859,  飞机  ,武汉,海口,,,1/29/2020 0:00,1/29/2020 23:59,2/3/2020 20:30,
 成都发布 , 01-28 ,CZ3767,  飞机  ,珠海,成都,,,1/28/2020 0:00,1/28/2020 23:59,2/5/2020 12:27,
 重庆市武隆区人民政府 , 01-28 ,B6T252,  出租车  ,重庆市长寿区张家堡,重庆市长寿区人民医院,,铃木车型，车辆行至葛兰天台寺上车两人，骑鞍车站下车1人，黄桷湾巴人港下车1人,1/28/2020 6:00,1/28/2020 23:00,2/5/2020 0:19,
 人民日报 , 01-28 ,VN704,  飞机  ,越南,郑州,,,1/28/2020 0:00,1/28/2020 23:59,2/4/2020 1:26,
 新郎黑龙江 , 01-28 ,G765,  火车  ,哈尔滨,齐齐哈尔南,5号车厢,座位：02F,1/28/2020 20:22,1/28/2020 21:50,2/7/2020 13:49,
 淮北市卫生健康委员会 , 01-28 ,G7162,  火车  ,合肥南,南京南,餐车车厢,,1/28/2020 9:32,1/28/2020 10:35,2/2/2020 21:15,
 淮北市卫生健康委员会 , 01-28 ,淮北市1路公交车,  公交车  ,淮北淮海路,淮北市人民医院,,1月31日确诊,1/28/2020 13:30,1/28/2020 23:59,2/2/2020 21:19,
 人民日报 , 01-28 ,CZ3385,  飞机  ,广州,兰州,,,1/28/2020 0:00,1/28/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-28 ,焦作公交10路,  公交车  ,幸福街小学,山阳建国饭店,,,1/28/2020 0:00,1/28/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-28 ,焦作公交10路,  公交车  ,山阳建国饭店,幸福街小学,,,1/28/2020 0:00,1/28/2020 23:59,2/6/2020 14:56,
 人民日报 , 01-28 ,GX8976,  飞机  ,洛阳,三亚,,,1/28/2020 0:00,1/28/2020 23:59,2/7/2020 14:05,
 天津政务网 , 01-28 ,K258,  火车  ,广元,天津,3号车厢,座位：12号,1/28/2020 19:57,1/30/2020 5:50,2/7/2020 14:57,
 甘肃发布 , 01-27 ,G2096,  火车  ,兰州,宝鸡南,2号车厢,,1/27/2020 10:17,1/27/2020 12:30,2/5/2020 12:27,
 广西壮族自治区卫生委官网 , 01-27 ,TR114,  飞机  ,新加坡,南宁,,,1/27/2020 0:00,1/27/2020 23:59,2/5/2020 12:27,
 海南政法网 , 01-27 ,CZ6766,  飞机  ,上海,海口,,,1/27/2020 0:00,1/27/2020 23:59,2/5/2020 12:27,
 辽沈晚报 , 01-27 ,司机微信号：为你等候,  出租车  ,锦州市中心医院,锦州医科大学附属一院,,下午,1/27/2020 0:00,1/27/2020 23:59,2/5/2020 0:19,
 辽沈晚报 , 01-27 ,司机微信号：丹弟,  出租车  ,锦州市元都大酒店,锦州市中心医院,,,1/27/2020 0:00,1/27/2020 23:59,2/5/2020 0:19,
 辽沈晚报 , 01-27 ,司机微信号：崔如竟,  出租车  ,,凌河区牡丹社区服务站,,,1/27/2020 11:25,1/27/2020 23:59,2/5/2020 0:19,
 人民日报 , 01-27 ,JD5859,  飞机  ,北京,南昌,,,1/27/2020 0:00,1/27/2020 23:59,2/1/2020 20:30,
 西秀发布 , 01-27 ,K827,  火车  ,广州,安顺,5号车厢,,1/27/2020 15:47,1/27/2020 14:17,2/4/2020 1:26,
 金华晚报 , 01-27 ,G1882,  火车  ,义乌,永城,4号车厢,,1/27/2020 7:38,1/27/2020 12:16,2/4/2020 1:26,
 西安新闻，西安市未央区疫情防控指挥部，长乐未央 , 01-27 ,CZ3219,  飞机  ,广州,西安咸阳,,,1/27/2020 14:05,1/27/2020 16:05,2/7/2020 13:49,
 淮北市卫生健康委员会 , 01-27 ,G649,  火车  ,合肥南,广州南,,乘务员，当班,1/27/2020 9:08,1/27/2020 15:42,2/2/2020 21:12,
